scenario,hour,target_Q,choke,Q,WHP,FLP,BHP,note
A_startup_to_target,0,120,25.0,77.20196360543036,286.81871006901787,198.82863646972248,3246.5866563089853,OK
A_startup_to_target,1,120,30.0,80.1217522276099,285.1568457348399,197.5717578406721,3240.591977379806,OK
A_startup_to_target,2,120,35.0,84.12697947046149,282.800864350399,195.8098561405024,3231.9299210499394,OK
A_startup_to_target,3,120,40.0,89.02623815472006,279.8276471489839,193.6123579836448,3220.798557399128,OK
A_startup_to_target,4,120,45.0,94.66187400761976,276.3055599066851,191.0391457576091,3207.3812485184817,OK
A_startup_to_target,5,120,50.0,100.90403364635253,272.2953961246022,188.14186968851152,3191.8477406740685,OK
A_startup_to_target,6,120,55.0,107.645762145239,267.85121574306316,184.96507953411577,3174.3551753702723,OK
A_startup_to_target,7,120,60.0,114.79896510211807,263.02109095885584,181.5472007005822,3155.049025335137,OK
A_startup_to_target,8,120,58.0,120.05063943935387,259.0772314143938,178.87030862484374,3138.4214906948955,OK
A_startup_to_target,9,120,53.0,122.77591235457348,256.4483855904358,177.2392235914943,3126.141179601033,OK
A_startup_to_target,10,120,48.0,123.42029164588712,254.98890099712355,176.51017624334276,3117.8852824975156,OK
A_startup_to_target,11,120,43.0,122.35072388338818,254.56925778828986,176.55916150784066,3113.3549605324506,OK
A_startup_to_target,12,120,38.5,120.02947962919845,254.9864631777561,177.21144066849575,3111.962313456898,OK
A_startup_to_target,13,120,43.5,119.71788223758045,254.47927127188194,177.0962407053591,3107.5605582544426,OK
A_startup_to_target,14,120,45.0,119.94132719453562,253.7648004086351,176.79353486161864,3102.551905574715,OK
A_startup_to_target,15,120,44.5,119.96533801016221,253.21728390413074,176.60022353486517,3098.2264299768394,OK
A_startup_to_target,16,120,44.5,119.98511473792477,252.73041098142033,176.4334871345165,3094.222149008706,OK
A_startup_to_target,17,120,44.5,120.00140402051629,252.2974646849737,176.28967234793294,3090.5152118849287,OK
A_startup_to_target,18,120,44.5,120.01482083701556,251.9124720372755,176.165628091269,3087.0835388956975,OK
A_startup_to_target,19,120,44.5,120.02587172056208,251.57012163493192,176.05863646699424,3083.9066898929227,OK
A_startup_to_target,20,120,44.5,120.03497388180617,251.26569037193104,175.96635321283304,3080.9657425421406,OK
A_startup_to_target,21,120,44.5,120.04247096011349,250.9949782791224,175.8867563373177,3078.2431796150017,OK
A_startup_to_target,22,120,44.5,120.04864599718863,250.7542505809535,175.8181018165231,3075.7227846510254,OK
A_startup_to_target,23,120,44.5,120.05373212291872,250.54018617007165,175.75888538126708,3073.389545367145,OK
A_startup_to_target,24,120,44.5,120.05792135686622,250.34983178893998,175.70780955750712,3071.2295642397207,OK
A_startup_to_target,25,120,44.5,120.06137185769892,250.18056128635266,175.66375523776492,3069.2299757264204,OK
A_startup_to_target,26,120,44.5,120.06421389424919,250.03003938674715,175.62575716068903,3067.37886963491,OK
A_startup_to_target,27,120,44.5,120.06655476363156,249.89618947247072,175.59298276149468,3065.665220181918,OK
A_startup_to_target,28,120,44.5,120.06848284209515,249.77716493452135,175.56471392987976,3064.0788203201223,OK
A_startup_to_target,29,120,44.5,120.07007092154535,249.67132369651495,175.54033127571927,3062.6102209416963,OK
A_startup_to_target,30,120,44.5,120.07137895770042,249.57720556040852,175.51930055778905,3061.2506745963806,OK
A_startup_to_target,31,120,44.5,120.07245633363569,249.4935120614378,175.50116097816215,3059.992083388857,OK
A_startup_to_target,32,120,44.5,120.07334372417256,249.41908855434622,175.4855150857997,3058.8269507450796,OK
A_startup_to_target,33,120,44.5,120.07407463149949,249.35290828376452,175.47202006811722,3057.748336760268,OK
A_startup_to_target,34,120,44.5,120.07467665000019,249.29405821897421,175.46038023971806,3056.7498168626034,OK
A_startup_to_target,35,120,44.5,120.07517250804106,249.24172645762923,175.45034056371696,3055.82544354641,OK
A_startup_to_target,36,120,44.5,120.07558092604884,249.19519102465688,175.44168106370108,3054.9697109469007,OK
A_startup_to_target,37,120,44.5,120.07591732327411,249.15380991180558,175.4342120038911,3054.1775220454747,OK
A_startup_to_target,38,120,44.5,120.07619439992355,249.11701222042427,175.42776973189592,3053.444158310235,OK
A_startup_to_target,39,120,44.5,120.0764226166385,249.0842902852782,175.42221309297264,3052.7652515908944,OK
